Make,Car Name,Car Type,Car Class,Country,Collection,Add-Ons
Porsche,2023 Porsche 911 Rallye,Rally Monsters,700 A,Germany,Seasonal,
Porsche,2023 Porsche 911 Turbo S,Modern Supercars,774 S1,Germany,"Autoshow, Wheelspin",
Radical,2015 Radical RXC Turbo,Extreme Track Toys,842 S2,UK,"Autoshow, Wheelspin",
Ram,2024 Ram 1500 TRX,Pickups & 4x4's,514 B,USA,Autoshow,
Reliant,1972 Reliant Supervan III,Utility Heroes,100 D,UK,"Autoshow, Wheelspin",
Renault,1967 Renault 8 Gordini,Classic Rally,322 D,France,Seasonal,
Renault,1980 Renault 5 Turbo,Retro Rally,417 C,France,"Autoshow, Wheelspin",
Renault,1993 Renault Clio Williams,Retro Hot Hatch,400 D,France,"Autoshow, Wheelspin",
Renault,2008 Renault Mégane R26.R,Hot Hatch,561 B,France,"Autoshow, Wheelspin",
Renault,2010 Renault Megane RS 250,Super Hot Hatch,538 B,France,"Autoshow, Wheelspin",
Renault,2018 Renault Megane R.S.,Super Hot Hatch,547 B,France,"Autoshow, Wheelspin",
Rimac,2021 Rimac Nevera,Hypercars,913 R,Croatia,"Wheelspin, Seasonal",
Rivian,2022 Rivian R1T,Pickups & 4x4's,607 A,USA,"Autoshow, Wheelspin",
RJ Anderson,2016 RJ Anderson #37 Polaris RZR Pro 2 Truck,Unlimited Offroad,674 A,USA,"Autoshow, Collection Journal",
RJ Anderson,2021 RJ Anderson #37 Polaris RZR Pro 4 Truck,Unlimited Offroad,677 A,USA,"Wheelspin, Seasonal",
Saleen,2017 Saleen S7 LM,Extreme Track Toys,835 S2,USA,Seasonal,
Schuppan,1993 Schuppan 962CR,Retro Supercars,764 S1,UK,Seasonal,
Shelby,1965 Shelby Cobra 427 S/C,Rare Classics,582 B,USA,"Collection Journal, Seasonal",
Shelby,1965 Shelby Cobra Daytona Coupe,Classic Racers,515 B,USA,"Autoshow, Wheelspin",
SIERRA Cars,2020 SIERRA Cars #23 Yokohama ALPHA,Extreme Track Toys,926 R,USA,"Autoshow, Wheelspin",
SIERRA Cars,2021 SIERRA Cars 700R,UTV's,346 D,USA,"Autoshow, Wheelspin",
SIERRA Cars,2021 SIERRA Cars RX3,UTV's,635 A,USA,"Autoshow, Wheelspin",
SRT,2013 SRT Viper GTS,Modern Muscle,707 S1,USA,"Autoshow, Wheelspin, Loyalty",
Subaru,1980 Subaru BRAT GL,Utility Heroes,159 D,Japan,"Autoshow, Wheelspin",
Subaru,1990 Subaru LEGACY RS,Retro Rally,406 C,Japan,"Autoshow, Wheelspin",
Subaru,1994 Subaru Vivio RX-R,Eclectic Domestics,281 D,Japan,"Autoshow, Wheelspin",
Subaru,1994 Subaru Vivio RX-R Forza Edition,Extreme Track Toys,900 S2,Japan,"Collection Journal, Seasonal",
Subaru,1996 Subaru SVX,Retro Sports Cars,466 C,Japan,"Autoshow, Wheelspin",
Subaru,1998 Subaru Impreza 22B-STi Version,Retro Rally,600 B,Japan,"Autoshow, Wheelspin",
Subaru,2004 Subaru IMPREZA WRX STI,Modern Rally,552 B,Japan,"Autoshow, Wheelspin",
Subaru,2005 Subaru IMPREZA WRX STI,Modern Rally,570 B,Japan,"Autoshow, Wheelspin",
Subaru,2005 Subaru LEGACY B4 2.0 GT,Retro Super Saloons,549 B,Japan,"Autoshow, Wheelspin",
Subaru,2008 Subaru IMPREZA WRX STI,Modern Rally,539 B,Japan,"Autoshow, Wheelspin",
Subaru,2011 Subaru WRX STI,Modern Rally,547 B,Japan,"Autoshow, Wheelspin",
Subaru,2013 Subaru BRZ,Modern Sports Cars,463 C,Japan,"Autoshow, Wheelspin",
Subaru,2015 Subaru WRX STI,Modern Rally,555 B,Japan,"Autoshow, Wheelspin",
Subaru,2018 Subaru WRX STI ARX Supercar,Rally Monsters,757 S1,Japan,Seasonal,
Subaru,2019 Subaru STI S209,Modern Rally,574 B,Japan,Seasonal,
Subaru,2022 Subaru BRZ,Modern Sports Cars,551 B,Japan,"Autoshow, Wheelspin",
Subaru,2022 Subaru BRZ Forza Edition,Unlimited Offroad,700 A,Japan,Aftermarket,
Subaru,2022 Subaru WRX,Modern Rally,538 B,Japan,"Autoshow, Wheelspin",
Toyota,1965 Toyota Sports 800,Classic Sports Cars,141 D,Japan,"Collection Journal, Wheelspin, Seasonal",
Toyota,1965 Toyota Sports 800 Fanta Edition,Classic Sports Cars,141 D,Japan,Autoshow DLC,Partnership DLC
Toyota,1969 Toyota 2000GT,Rare Classics,377 D,Japan,Collection Journal,
Toyota,1974 Toyota Corolla SR5,Classic Sports Cars,197 D,Japan,Seasonal,
Toyota,1979 Toyota FJ40,Pickups & 4x4's,157 D,Japan,"Autoshow, Wheelspin",
Toyota,1985 Toyota Sprinter Trueno GT Apex,Retro Sports Cars,376 D,Japan,"Autoshow, Wheelspin",
Toyota,1985 Toyota Sprinter Trueno GT Apex Forza Edition,Track Toys,600 B,Japan,"Collection Journal, Seasonal",
Toyota,1989 Toyota MR2 SC,Retro Sports Cars,397 D,Japan,Seasonal,
Toyota,1991 Toyota Chaser GT Twin Turbo,Retro Super Saloons,484 C,Japan,"Autoshow, Wheelspin",
Toyota,1991 Toyota Sera,Eclectic Domestics,344 D,Japan,"Autoshow, Wheelspin",
Toyota,1992 Toyota Celica GT-Four RC ST185,Retro Rally,438 C,Japan,Autoshow,
Toyota,1992 Toyota Supra 2.0 GT,Retro Sports Cars,453 C,Japan,"Autoshow, Wheelspin",
Toyota,1993 Toyota #1 T100 Baja Truck,Unlimited Offroad,584 B,Japan,"Autoshow, Wheelspin",
Toyota,1994 Toyota Celica GT-Four ST205,Retro Rally,479 C,Japan,"Autoshow, Wheelspin",
Toyota,1995 Toyota J&J Motorsport Supra WTAC,Extreme Track Toys,828 S2,Japan,Autoshow DLC,Time Attack Car Pack
Toyota,1995 Toyota MR2 GT,Retro Sports Cars,522 B,Japan,"Autoshow, Wheelspin",
Toyota,1996 Toyota Starlet Glanza V,Retro Hot Hatch,435 C,Japan,Seasonal,
Toyota,1997 Toyota Chaser 2.5 Tourer V,Retro Super Saloons,504 B,Japan,"Autoshow, Collection Journal",
Toyota,1997 Toyota Soarer 2.5 GT-T,Retro Sports Cars,491 C,Japan,"Autoshow, Collection Journal, Wheelspin",
Toyota,1998 Toyota Supra RZ,Retro Sports Cars,529 B,Japan,"Autoshow, Collection Journal, Wheelspin",
Toyota,1999 Toyota Altezza RS200 Z EDITION,Retro Super Saloons,461 C,Japan,Seasonal,
Toyota,2003 Toyota Celica Sport Specialty II,Retro Sports Cars,433 C,Japan,"Autoshow, Wheelspin",
Toyota,2005 Toyota Crown Super Deluxe Taxi,Retro Super Saloons,181 D,Japan,"Autoshow, Wheelspin",
Toyota,2013 Toyota 86,Modern Sports Cars,460 C,Japan,"Autoshow, Wheelspin",
Toyota,2013 Toyota 86 Stories,Track Toys,685 A,Japan,"Collection Journal, Seasonal",
Toyota,2016 Toyota Land Cruiser Arctic Trucks AT37,Pickups & 4x4's,332 D,Japan,Seasonal,
Toyota,2017 Toyota JPN Taxi,Eclectic Domestics,248 D,Japan,"Autoshow, Wheelspin",
Toyota,2019 Toyota 4Runner TRD Pro,Pickups & 4x4's,421 C,Japan,"Autoshow, Wheelspin",
Toyota,2019 Toyota Tacoma TRD Pro,Pickups & 4x4's,409 C,Japan,"Autoshow, Wheelspin",
Toyota,2019 Toyota Tacoma TRD Pro Forza Edition,Extreme Track Toys,998 R,Japan,Autoshow DLC,VIP
Toyota,2020 Toyota GR Supra,Modern Sports Cars,616 A,Japan,"Autoshow, Collection Journal, Wheelspin",
Toyota,2021 Toyota GR Yaris,Modern Rally,558 B,Japan,"Autoshow, Wheelspin",
Toyota,2022 Toyota GR86,Modern Sports Cars,556 B,Japan,"Autoshow, Wheelspin",
Toyota,2023 Toyota Camry TRD,Modern Super Saloons,525 B,Japan,Autoshow,
Toyota,2023 Toyota GR Corolla,Super Hot Hatch,596 B,Japan,Autoshow DLC,Car Pass
Toyota,2024 Toyota Prius Prime XSE Premium,Hot Hatch,472 C,Japan,Autoshow DLC,Car Pass
Toyota,2025 Toyota Land Cruiser,Sports Utility Heroes,456 C,Japan,"Autoshow, Wheelspin",
TVR,1998 TVR Cerbera Speed 12,Retro Supercars,770 S1,UK,Seasonal,
TVR,2005 TVR Sagaris,Retro Sports Cars,672 A,UK,"Autoshow, Wheelspin",
TVR,2018 TVR Griffith,Modern Sports Cars,729 S1,UK,Autoshow,
Ultima,2015 Ultima Evolution Coupe 1020,Extreme Track Toys,925 R,UK,"Autoshow, Wheelspin",
Volkswagen,1963 Volkswagen Beetle,Cult Cars,100 D,Germany,"Autoshow, Wheelspin",
Volkswagen,1963 Volkswagen Type 2 De Luxe,Cult Cars,100 D,Germany,"Autoshow, Collection Journal",
Volkswagen,1969 Volkswagen Class 5/1600 Baja Bug,Buggies,260 D,Germany,"Autoshow, Wheelspin",
Volkswagen,1982 Volkswagen Pickup LX,Utility Heroes,100 D,Germany,"Autoshow, Wheelspin",
Volkswagen,1983 Volkswagen Golf GTI,Retro Hot Hatch,314 D,Germany,"Autoshow, Wheelspin",
Volkswagen,1989 Volkswagen Rallye Golf,Retro Rally,440 C,Germany,Seasonal,
Volkswagen,1992 Volkswagen Golf Gti 16v Mk2,Retro Hot Hatch,308 D,Germany,"Autoshow, Wheelspin",
Volkswagen,1995 Volkswagen Corrado VR6,Retro Hot Hatch,426 C,Germany,"Autoshow, Wheelspin",
Volkswagen,2010 Volkswagen Golf R,Super Hot Hatch,526 B,Germany,"Autoshow, Wheelspin",
Volkswagen,2011 Volkswagen Scirocco R,Hot Hatch,548 B,Germany,"Autoshow, Wheelspin",
Volkswagen,2014 Volkswagen Golf R,Super Hot Hatch,536 B,Germany,"Autoshow, Wheelspin",
Volkswagen,2017 Volkswagen #34 Andretti Rally Cross Beetle,Rally Monsters,764 S1,Germany,"Autoshow, Wheelspin",
Volkswagen,2021 Volkswagen Golf R,Super Hot Hatch,546 B,Germany,"Autoshow, Wheelspin",
Volkswagen,2022 Volkswagen Golf R,Super Hot Hatch,548 B,Germany,"Autoshow, Wheelspin",
Volvo,1983 Volvo 242 Turbo Evolution,Classic Rally,435 C,Sweden,"Autoshow, Wheelspin",
Wuling,2013 Wuling Sunshine S,Utility Heroes,107 D,China,"Autoshow, Wheelspin",
Wuling,2013 Wuling Sunshine S Forza Edition,Track Toys,800 S1,China,"Wheelspin, Seasonal",
Wuling,2022 Wuling Hongguang Mini EV,Hot Hatch,100 D,China,"Autoshow, Wheelspin",
Zenvo,2019 Zenvo TSR-S,Hypercars,906 R,Denmark,"Autoshow, Wheelspin",
